,Unnamed: 0,food_id,food_name,calcium,calories,carbohydrate,fat,potassium,protein,serving_description,sodium,sugar,vitamin_a,vitamin_c
5575,32240,7326,Hard Sauce,0,100,96.0,0.0,0,0.0,100 g,0,0.0,0,0
5576,32244,7326,Hard Sauce,1,456,62.41,24.09,8,0.25,100 g,171,61.35,15,0
5577,32248,7327,Caramel with Nuts,13,412,70.03,14.39,239,5.77,100 g,218,58.57,1,1
5579,32258,7329,Puerto Rican Style Pineapple Candy,2,329,85.13,0.14,173,0.65,100 g,2,83.83,1,16
5580,32297,7331,Coffee,2,397,83.62,8.1,33,0.82,100 g,117,61.88,0,66
5581,32307,7331,Coffee,0,1,0.04,0.02,47,0.12,100 g,2,0.0,0,0
5582,32313,7332,"Coffee (made From Ground, Equal Parts Regular and Decaffeinated)",0,0,0.0,0.01,52,0.11,100 g,2,0.0,0,0
5583,32319,7333,Mexican Coffee Unsweetened,0,1,0.0,0.02,49,0.12,100 g,2,0.0,0,0
5584,32325,7334,Mexican Coffee Sweetened,1,28,6.92,0.02,70,0.11,100 g,5,6.84,0,0
5585,32331,7335,Mexican Coffee Decaffeinated Unsweetened,0,0,0.0,0.0,54,0.1,100 g,2,0.0,0,0
5586,32337,7336,Flavored Coffee (made From Ground),0,1,0.0,0.02,49,0.12,100 g,2,0.0,0,0
5587,32345,7337,Latte Coffee,8,33,3.03,1.35,136,2.16,100 g,31,3.32,2,0
5588,32353,7338,Mocha Coffee,7,81,13.78,1.88,152,2.25,100 g,41,11.32,2,0
5589,32360,7347,Instant Coffee Decaffeinated and Chicory (made From Powdered),0,2,0.39,0.0,32,0.11,100 g,2,0.0,0,0
5590,32366,7348,Regular Coffee with Cereal,0,2,0.38,0.0,32,0.11,100 g,2,0.0,0,0
5591,32372,7349,Decaffeinated Coffee with Cereal,0,2,0.39,0.0,32,0.11,100 g,2,0.0,0,0
5592,32382,7350,Cappuccino,6,31,2.42,1.66,97,1.7,100 g,21,2.67,1,0
5593,32386,7351,Instant Coffee (Dry Powder),14,241,41.1,0.5,3535,12.2,100 g,37,0.0,0,0
5594,32390,7352,"Instant Coffee (Decaffeinated, Dry Powder)",14,224,42.6,0.2,3501,11.6,100 g,23,0.0,0,0
5595,32394,7353,Instant Coffee Decaffeinated and Chicory (Dry Powder),14,224,42.6,0.2,3501,11.6,100 g,23,0.0,0,0
5596,32398,7354,"Instant Coffee and Cocoa (Mocha) (Dry Mix, with Whitener and Low Calorie Sweetener)",6,257,71.4,13.21,1856,9.0,100 g,500,34.98,0,0
5597,32402,7355,"Instant Coffee (Dry Powder, with Whitener and Sugar)",8,445,75.81,14.1,1008,3.8,100 g,368,55.45,0,0
5598,32408,7356,Postum,0,6,1.3,0.04,41,0.1,100 g,4,0.08,0,0
5599,32414,7357,Cereal Beverage,0,5,1.0,0.03,31,0.08,100 g,3,0.06,0,0
5600,32420,7358,Instant Cereal Beverage with Beet Roots,0,5,1.0,0.03,31,0.08,100 g,3,0.06,0,0
